,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
111,1113,1,1,Germagnano,Torino,Piemonte,1133,TO,0.08594042605936056,0.42173679172992706
112,1114,1,1,Giaglione,Torino,Piemonte,609,TO,0.11406857028955072,0.29871150851249695
113,1115,1,1,Giaveno,Torino,Piemonte,16257,TO,0.12394982189631672,0.4420969933271408
114,1116,1,1,Givoletto,Torino,Piemonte,3959,TO,0.1289610893334805,0.6700336337089539
115,1117,1,1,Gravere,Torino,Piemonte,673,TO,0.06071253805865602,0.3298003375530243
116,1118,1,1,Groscavallo,Torino,Piemonte,197,TO,0.0854242349949358,0.09550171345472336
117,1119,1,1,Grosso,Torino,Piemonte,981,TO,0.023102621808451036,0.7963917255401611
118,1120,1,1,Grugliasco,Torino,Piemonte,36928,TO,0.01495718996040402,0.8978789746761322
119,1121,1,1,Ingria,Torino,Piemonte,45,TO,0.0882983955885991,0.19851334393024445
120,1122,1,1,Inverso Pinasca,Torino,Piemonte,700,TO,0.05642411789069943,0.45732760429382324
121,1123,1,1,Isolabella,Torino,Piemonte,380,TO,0.001726659578617854,0.7877464294433594
122,1124,1,1,Issiglio,Torino,Piemonte,397,TO,0.0686852291907772,0.5316293239593506
123,1125,1,1,Ivrea,Torino,Piemonte,23215,TO,0.05243616807384829,0.7910523414611816
124,1126,1,1,La Cassa,Torino,Piemonte,1783,TO,0.09138723569089494,0.5372376441955566
125,1127,1,1,La Loggia,Torino,Piemonte,8834,TO,0.03431713210293745,0.8283777832984924
126,1128,1,1,Lanzo Torinese,Torino,Piemonte,4945,TO,0.08586044970901674,0.6484303176403046
127,1129,1,1,Lauriano,Torino,Piemonte,1469,TO,0.0846948896968614,0.5872378349304199
128,1130,1,1,Leini,Torino,Piemonte,16398,TO,0.04071397355143662,0.8392556607723236
129,1131,1,1,Lemie,Torino,Piemonte,174,TO,0.0380543879394302,0.2595983147621155
130,1132,1,1,Lessolo,Torino,Piemonte,1792,TO,0.082764391471198,0.6970357894897461
131,1133,1,1,Levone,Torino,Piemonte,444,TO,0.08765642208458381,0.5529343485832214
132,1134,1,1,Locana,Torino,Piemonte,1434,TO,0.06894912210223955,0.27210551500320435
133,1135,1,1,Lombardore,Torino,Piemonte,1719,TO,0.046599814634481124,0.7411979734897614
134,1136,1,1,Lombriasco,Torino,Piemonte,1049,TO,0.009417665537394822,0.7911867201328278
135,1137,1,1,Loranzè,Torino,Piemonte,1153,TO,0.08623669726670607,0.666968435049057
136,1139,1,1,Luserna San Giovanni,Torino,Piemonte,7262,TO,0.1012625242975523,0.6326256990432739
137,1140,1,1,Lusernetta,Torino,Piemonte,509,TO,0.04963377454948495,0.44899873435497284
138,1141,1,1,Lusigliè,Torino,Piemonte,567,TO,0.08617455074227537,0.6897710263729095
139,1142,1,1,Macello,Torino,Piemonte,1161,TO,0.013481500178775314,0.785155326128006
140,1143,1,1,Maglione,Torino,Piemonte,412,TO,0.1105267453707096,0.6197445690631866
141,1144,1,1,Marentino,Torino,Piemonte,1301,TO,0.025783967627784444,0.766353964805603
142,1145,1,1,Massello,Torino,Piemonte,53,TO,0.057043054594017886,0.06595175713300705
143,1146,1,1,Mathi,Torino,Piemonte,3879,TO,0.02278439212229839,0.8118388652801514
144,1147,1,1,Mattie,Torino,Piemonte,665,TO,0.06975619468542711,0.3119708448648453
145,1148,1,1,Mazzè,Torino,Piemonte,4123,TO,0.07497847526402124,0.760381430387497
146,1149,1,1,Meana di Susa,Torino,Piemonte,824,TO,0.09984647760245455,0.316875696182251
147,1150,1,1,Mercenasco,Torino,Piemonte,1253,TO,0.10137297589611532,0.6941794753074646
148,1152,1,1,Mezzenile,Torino,Piemonte,763,TO,0.07634869532554159,0.33966636657714844
149,1153,1,1,Mombello di Torino,Torino,Piemonte,381,TO,0.015707229341334995,0.7826167345046997
150,1154,1,1,Mompantero,Torino,Piemonte,645,TO,0.11183276941180417,0.3632453680038452
151,1155,1,1,Monastero di Lanzo,Torino,Piemonte,335,TO,0.06802610401183831,0.3743029534816742
152,1156,1,1,Moncalieri,Torino,Piemonte,56737,TO,0.04729731849768237,0.8367478847503662
153,1157,1,1,Moncenisio,Torino,Piemonte,32,TO,0.015091111720176794,0.3386070281267166
154,1158,1,1,Montaldo Torinese,Torino,Piemonte,711,TO,0.03462365846560604,0.8075931072235107
155,1159,1,1,Montalenghe,Torino,Piemonte,992,TO,0.07682883329471696,0.6738356947898865
156,1160,1,1,Montalto Dora,Torino,Piemonte,3373,TO,0.07423330849836317,0.7624504268169403
157,1161,1,1,Montanaro,Torino,Piemonte,5191,TO,0.07446231049044791,0.8131400346755981
158,1162,1,1,Monteu da Po,Torino,Piemonte,834,TO,0.07164430828007502,0.703494668006897
159,1163,1,1,Moriondo Torinese,Torino,Piemonte,851,TO,0.048495619508086694,0.7204520106315613
160,1164,1,1,Nichelino,Torino,Piemonte,46957,TO,0.09428091596973935,0.8432758450508118
