,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
99,1101,1,1,Favria,Torino,Piemonte,5154,TO,2.7955760716670865,1445.8421020507812
100,1102,1,1,Feletto,Torino,Piemonte,2206,TO,1.8624265814184766,1450.77294921875
101,1103,1,1,Fenestrelle,Torino,Piemonte,506,TO,143.38104488183575,1237.467041015625
102,1104,1,1,Fiano,Torino,Piemonte,2635,TO,19.91384688160008,1400.1858520507812
103,1105,1,1,Fiorano Canavese,Torino,Piemonte,763,TO,10.31394280839847,1395.9854736328125
104,1106,1,1,Foglizzo,Torino,Piemonte,2277,TO,1.8010065735406704,1443.833251953125
105,1107,1,1,Forno Canavese,Torino,Piemonte,3307,TO,41.433708857822936,1326.9532470703125
106,1108,1,1,Frassinetto,Torino,Piemonte,265,TO,80.45869640284819,1350.6944580078125
107,1109,1,1,Front,Torino,Piemonte,1658,TO,5.596875224008793,1436.5283203125
108,1110,1,1,Frossasco,Torino,Piemonte,2879,TO,37.30834776087295,1430.8668823242188
109,1111,1,1,Garzigliana,Torino,Piemonte,548,TO,3.9093968682363243,1450.04248046875
110,1112,1,1,Gassino Torinese,Torino,Piemonte,9377,TO,11.661145253947748,1402.92529296875
111,1113,1,1,Germagnano,Torino,Piemonte,1133,TO,68.99697959665558,1272.165771484375
112,1114,1,1,Giaglione,Torino,Piemonte,609,TO,118.35415133655135,1406.7603149414062
113,1115,1,1,Giaveno,Torino,Piemonte,16257,TO,106.4894396797937,1301.3857421875
114,1116,1,1,Givoletto,Torino,Piemonte,3959,TO,32.22376813927676,1393.9766235351562
115,1117,1,1,Gravere,Torino,Piemonte,673,TO,96.48659912993337,1254.9990234375
116,1118,1,1,Groscavallo,Torino,Piemonte,197,TO,193.66026403111098,1331.3362426757812
117,1119,1,1,Grosso,Torino,Piemonte,981,TO,3.09927263171298,1428.8580322265625
118,1120,1,1,Grugliasco,Torino,Piemonte,36928,TO,6.374956885260684,1433.240966796875
119,1121,1,1,Ingria,Torino,Piemonte,45,TO,79.6397684121218,1299.7421264648438
120,1122,1,1,Inverso Pinasca,Torino,Piemonte,700,TO,60.87093451683178,1171.721923828125
121,1123,1,1,Isolabella,Torino,Piemonte,380,TO,0.8051750755364799,1425.75341796875
122,1124,1,1,Issiglio,Torino,Piemonte,397,TO,31.396230339150737,1333.1624755859375
123,1125,1,1,Ivrea,Torino,Piemonte,23215,TO,9.157452954067349,1425.2054443359375
124,1126,1,1,La Cassa,Torino,Piemonte,1783,TO,31.583226521265228,1401.4642333984375
125,1127,1,1,La Loggia,Torino,Piemonte,8834,TO,2.9328566798606093,1429.2232666015625
126,1128,1,1,Lanzo Torinese,Torino,Piemonte,4945,TO,45.434522537962586,1365.6697387695312
127,1129,1,1,Lauriano,Torino,Piemonte,1469,TO,16.143120437640395,1393.7939453125
128,1130,1,1,Leini,Torino,Piemonte,16398,TO,4.758922689461646,1443.833251953125
129,1131,1,1,Lemie,Torino,Piemonte,174,TO,141.74538185968092,1299.3768920898438
130,1132,1,1,Lessolo,Torino,Piemonte,1792,TO,24.14739021901069,1360.5562744140625
131,1133,1,1,Levone,Torino,Piemonte,444,TO,35.47001849238807,1395.9854736328125
132,1134,1,1,Locana,Torino,Piemonte,1434,TO,167.96159309854968,1262.6693115234375
133,1135,1,1,Lombardore,Torino,Piemonte,1719,TO,2.2476459845254544,1445.659423828125
134,1136,1,1,Lombriasco,Torino,Piemonte,1049,TO,0.5862848255565419,1442.737548828125
135,1137,1,1,Loranzè,Torino,Piemonte,1153,TO,11.027294965369482,1396.8986206054688
136,1139,1,1,Luserna San Giovanni,Torino,Piemonte,7262,TO,96.17308192138611,1325.1270141601562
137,1140,1,1,Lusernetta,Torino,Piemonte,509,TO,48.208861436423184,1259.7472534179688
138,1141,1,1,Lusigliè,Torino,Piemonte,567,TO,1.0462088892751886,1450.77294921875
139,1142,1,1,Macello,Torino,Piemonte,1161,TO,1.415237685995405,1459.904296875
140,1143,1,1,Maglione,Torino,Piemonte,412,TO,2.1914842397493204,1435.4324951171875
141,1144,1,1,Marentino,Torino,Piemonte,1301,TO,5.040759306571603,1413.1522216796875
142,1145,1,1,Massello,Torino,Piemonte,53,TO,138.04122837432345,1407.6734619140625
143,1146,1,1,Mathi,Torino,Piemonte,3879,TO,6.237518571631634,1420.274658203125
144,1147,1,1,Mattie,Torino,Piemonte,665,TO,87.5954546648728,1164.9649047851562
145,1148,1,1,Mazzè,Torino,Piemonte,4123,TO,4.121365818626749,1438.3544921875
