cod_com,den_com,sigla,cod_prov,den_prov,cod_reg,den_reg,pop
2049,Crescentino,VC,2,Vercelli,1,Piemonte,7745
2052,Crova,VC,2,Vercelli,1,Piemonte,402
2054,Desana,VC,2,Vercelli,1,Piemonte,1063
2057,Fobello,VC,2,Vercelli,1,Piemonte,187
2058,Fontanetto Po,VC,2,Vercelli,1,Piemonte,1086
2059,Formigliana,VC,2,Vercelli,1,Piemonte,484
2061,Gattinara,VC,2,Vercelli,1,Piemonte,7782
2062,Ghislarengo,VC,2,Vercelli,1,Piemonte,822
2065,Greggio,VC,2,Vercelli,1,Piemonte,344
2066,Guardabosone,VC,2,Vercelli,1,Piemonte,339
2067,Lamporo,VC,2,Vercelli,1,Piemonte,521
2068,Lenta,VC,2,Vercelli,1,Piemonte,809
2070,Lignana,VC,2,Vercelli,1,Piemonte,535
2071,Livorno Ferraris,VC,2,Vercelli,1,Piemonte,4227
2072,Lozzolo,VC,2,Vercelli,1,Piemonte,817
2078,Mollia,VC,2,Vercelli,1,Piemonte,96
2079,Moncrivello,VC,2,Vercelli,1,Piemonte,1362
2082,Motta de' Conti,VC,2,Vercelli,1,Piemonte,746
2088,Olcenengo,VC,2,Vercelli,1,Piemonte,792
2089,Oldenico,VC,2,Vercelli,1,Piemonte,211
2090,Palazzolo Vercellese,VC,2,Vercelli,1,Piemonte,1145
2091,Pertengo,VC,2,Vercelli,1,Piemonte,281
2093,Pezzana,VC,2,Vercelli,1,Piemonte,1288
2096,Pila,VC,2,Vercelli,1,Piemonte,139
2097,Piode,VC,2,Vercelli,1,Piemonte,185
2102,Postua,VC,2,Vercelli,1,Piemonte,565
2104,Prarolo,VC,2,Vercelli,1,Piemonte,712
2107,Quarona,VC,2,Vercelli,1,Piemonte,3932
2108,Quinto Vercellese,VC,2,Vercelli,1,Piemonte,369
2110,Rassa,VC,2,Vercelli,1,Piemonte,62
2113,Rimella,VC,2,Vercelli,1,Piemonte,133
2115,Rive,VC,2,Vercelli,1,Piemonte,447
2116,Roasio,VC,2,Vercelli,1,Piemonte,2338
2118,Ronsecco,VC,2,Vercelli,1,Piemonte,535
2121,Rossa,VC,2,Vercelli,1,Piemonte,176
2122,Rovasenda,VC,2,Vercelli,1,Piemonte,925
2126,Salasco,VC,2,Vercelli,1,Piemonte,217
2127,Sali Vercellese,VC,2,Vercelli,1,Piemonte,102
2128,Saluggia,VC,2,Vercelli,1,Piemonte,3892
2131,San Germano Vercellese,VC,2,Vercelli,1,Piemonte,1492
2133,Santhià,VC,2,Vercelli,1,Piemonte,8242
2134,Scopa,VC,2,Vercelli,1,Piemonte,373
2135,Scopello,VC,2,Vercelli,1,Piemonte,370
2137,Serravalle Sesia,VC,2,Vercelli,1,Piemonte,4835
2142,Stroppiana,VC,2,Vercelli,1,Piemonte,1163
2147,Tricerro,VC,2,Vercelli,1,Piemonte,696
2148,Trino,VC,2,Vercelli,1,Piemonte,6832
2150,Tronzano Vercellese,VC,2,Vercelli,1,Piemonte,3416
2152,Valduggia,VC,2,Vercelli,1,Piemonte,1931
2156,Varallo,VC,2,Vercelli,1,Piemonte,7084
2158,Vercelli,VC,2,Vercelli,1,Piemonte,46362
2163,Villarboit,VC,2,Vercelli,1,Piemonte,409
2164,Villata,VC,2,Vercelli,1,Piemonte,1556
2166,Vocca,VC,2,Vercelli,1,Piemonte,160
2170,Alto Sermenza,VC,2,Vercelli,1,Piemonte,151
2171,Cellio con Breia,VC,2,Vercelli,1,Piemonte,972
