,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,mean,std,median
1182,7043,7,2,Montjovet,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1802,AO,1.401893201672915,0.8786842335186651,1.2000000476837158
1183,7044,7,2,Morgex,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,2096,AO,1.6818577197229438,2.979259952884441,0.6549999713897705
1184,7045,7,2,Nus,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,2950,AO,0.9170440207674818,1.8344451674821336,0.4300000071525574
1185,7046,7,2,Ollomont,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,165,AO,0.4657540937916177,0.21345116322911747,0.4099999964237213
1186,7047,7,2,Oyace,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,217,AO,0.5939106125405381,0.5365905273408889,0.45499998331069946
1187,7048,7,2,Perloz,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,457,AO,1.0046123998571737,1.3098568529667094,0.5550000071525574
1188,7049,7,2,Pollein,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1536,AO,4.407696658975623,6.514045981830112,1.1549999713897705
1189,7050,7,2,Pontboset,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,173,AO,0.5467105230218485,0.3605716913391583,0.42000001668930054
1190,7051,7,2,Pontey,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,801,AO,1.4379999876022338,1.6400345420403186,0.5600000023841858
1191,7052,7,2,Pont-Saint-Martin,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,3592,AO,6.951794957503294,7.266327508466376,2.9200000762939453
1192,7053,7,2,Pré-Saint-Didier,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1031,AO,1.6890837687472398,2.6780504529240634,0.6050000190734863
1193,7054,7,2,Quart,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,4045,AO,1.6178370889150695,3.613010303022302,0.5599999725818634
1194,7055,7,2,Rhêmes-Notre-Dame,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,85,AO,0.43082149910153045,0.10384633643551212,0.4099999964237213
1195,7056,7,2,Rhêmes-Saint-Georges,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,174,AO,0.5519158856891025,0.23283618304467235,0.4650000035762787
1196,7057,7,2,Roisan,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1038,AO,1.996707327482177,1.841525799265043,1.362500011920929
1197,7058,7,2,Saint-Christophe,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,3446,AO,5.077976160106205,6.135519611798388,1.4100000262260437
1198,7059,7,2,Saint-Denis,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,382,AO,1.1635156208649278,0.6800836784063888,0.9424999952316284
1199,7060,7,2,Saint-Marcel,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1365,AO,0.916425622938093,1.4064368571439645,0.5099999904632568
1200,7061,7,2,Saint-Nicolas,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,320,AO,1.4325568174773997,1.1818206419072443,0.9950000047683716
1201,7062,7,2,Saint-Oyen,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,199,AO,1.1596296313736174,1.2572371452549036,0.5299999713897705
1202,7063,7,2,Saint-Pierre,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,3195,AO,2.443368054512474,4.219518562273293,0.5950000286102295
1203,7064,7,2,Saint-Rhémy-en-Bosses,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,329,AO,0.6290565982983118,0.7577684171456049,0.4399999976158142
1204,7065,7,2,Saint-Vincent,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,4432,AO,2.9683740257732265,5.132529455841636,0.9700000286102295
1205,7066,7,2,Sarre,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,4817,AO,2.484151528459607,4.055280217263787,0.6499999761581421
1206,7067,7,2,Torgnon,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,567,AO,0.8196215117832579,0.978638147227052,0.44999998807907104
